"Aikaleima","Tehtäväsi ryhmässä","Piditkö kyselyn ulkoasusta","Kyselyn selkeys","Kyselyn käytettävyys","Pidätkö itsestäsi"
"2016/11/04 1:54:59 ip. UTC+2","Projektipäälikkö","Kyllä","5","5","5"
"2016/11/04 1:55:11 ip. UTC+2","Koodari","Kyllä","5","5","5"
"2016/11/04 2:04:16 ip. UTC+2","GitMaster / GoogleMaster","Kyllä","5","3","5"
"2016/11/04 2:05:36 ip. UTC+2","Koodimaisteri","En","2","2","1"
"2016/11/04 2:05:46 ip. UTC+2","Asiakasymmärrysvastaava ja asiakasdatasta vastaavaAsiakas","En","5","5","1"
"2016/11/04 2:07:22 ip. UTC+2","Ohjelmoida","Kyllä","3","4","1"
"2016/11/04 2:10:08 ip. UTC+2","Päälikkö","Kyllä","5","5","5"
"2016/11/04 2:14:24 ip. UTC+2","Asiakasymmärrysvastaava ja asiakasdatasta vastaava","Kyllä","4","5","2"
"2016/11/04 2:19:05 ip. UTC+2","plää","Kyllä","4","4","1"
"2016/11/04 2:19:21 ip. UTC+2","ohjelmoja","Kyllä","5","3","2"
"2016/11/07 12:05:16 ip. UTC+2","Oloneuvos ","En","4","3","1"
"2016/11/07 12:09:44 ip. UTC+2","Asiakasdatan hallinointi","En","4","3","2"
"2016/11/07 12:12:37 ip. UTC+2","...","Kyllä","4","4","1"
"2016/11/07 12:21:59 ip. UTC+2","Koodari","Kyllä","5","5","1"
"2016/11/07 12:32:34 ip. UTC+2","Projektipäällikkö ","Kyllä","4","3","2"
"2016/11/07 12:33:33 ip. UTC+2","Päällikkö","Kyllä","5","5","5"
"2016/11/07 12:42:07 ip. UTC+2","Team laeder","Kyllä","4","4","1"
"2016/11/07 1:08:56 ip. UTC+2","Toimitusjohtaja ","Kyllä","5","5","5"
"2016/11/07 1:48:39 ip. UTC+2","Kuningas","Kyllä","4","4","1"
"2016/11/07 4:31:54 ip. UTC+2","Käyttöliittymäsuunnittelija ja -ohjelmoija","Kyllä","4","4","2"
"2016/11/07 4:32:23 ip. UTC+2","Käyttöliittymäsuunnittelija ja -ohjelmoija","Kyllä","3","4","2"
"2016/11/07 4:33:29 ip. UTC+2","Käyttöliittymäsuunnittelija ja -ohjelmoija","Kyllä","4","3","1"
"2016/11/07 4:34:10 ip. UTC+2"," Käyttöliittymäsuunnittelija ja -ohjelmoija","En","3","3","2"
"2016/11/07 4:34:31 ip. UTC+2"," Käyttöliittymäsuunnittelija ja -ohjelmoija","En","2","2","4"
"2016/11/07 4:34:54 ip. UTC+2"," Käyttöliittymäsuunnittelija ja -ohjelmoija","Kyllä","3","4","2"
"2016/11/07 4:41:21 ip. UTC+2"," Käyttöliittymäsuunnittelija ja -ohjelmoija","Kyllä","3","4","2"
